{'loss': 0.094, 'grad_norm': 0.3635757863521576, 'learning_rate': 1.3128826348184887e-05, 'epoch': 5.86}
{'loss': 0.0963, 'grad_norm': 0.3513675928115845, 'learning_rate': 1.2079682533724379e-05, 'epoch': 5.91}
{'loss': 0.098, 'grad_norm': 0.35222679376602173, 'learning_rate': 1.1071525719463095e-05, 'epoch': 5.96}
{'loss': 0.0969, 'grad_norm': 0.37002861499786377, 'learning_rate': 1.010482589146048e-05, 'epoch': 6.0}
{'loss': 0.0734, 'grad_norm': 0.31141242384910583, 'learning_rate': 9.180033709213454e-06, 'epoch': 6.05}
{'loss': 0.072, 'grad_norm': 0.34667694568634033, 'learning_rate': 8.297580295566575e-06, 'epoch': 6.09}
{'loss': 0.0701, 'grad_norm': 0.3693538308143616, 'learning_rate': 7.457877035729588e-06, 'epoch': 6.14}
{'loss': 0.0789, 'grad_norm': 0.3607710599899292, 'learning_rate': 6.661315385496425e-06, 'epoch': 6.19}
{'loss': 0.0703, 'grad_norm': 0.34043243527412415, 'learning_rate': 5.908266688755049e-06, 'epoch': 6.23}
{'loss': 0.0732, 'grad_norm': 0.3823705315589905, 'learning_rate': 5.199082004372957e-06, 'epoch': 6.28}
{'loss': 0.073, 'grad_norm': 0.3659335672855377, 'learning_rate': 4.534091942539475e-06, 'epoch': 6.33}
{'loss': 0.0747, 'grad_norm': 0.3121512830257416, 'learning_rate': 3.913606510640644e-06, 'epoch': 6.37}
{'loss': 0.0773, 'grad_norm': 0.3800166845321655, 'learning_rate': 3.3379149687388867e-06, 'epoch': 6.42}
{'loss': 0.072, 'grad_norm': 0.43398407101631165, 'learning_rate': 2.8072856947248037e-06, 'epoch': 6.47}
{'loss': 0.0796, 'grad_norm': 0.4034822881221771, 'learning_rate': 2.3219660592038285e-06, 'epoch': 6.51}
{'loss': 0.0774, 'grad_norm': 0.37116187810897827, 'learning_rate': 1.882182310176095e-06, 'epoch': 6.56}
{'loss': 0.0795, 'grad_norm': 0.3229876756668091, 'learning_rate': 1.488139467563354e-06, 'epoch': 6.61}
{'loss': 0.0778, 'grad_norm': 0.41564708948135376, 'learning_rate': 1.1400212276321376e-06, 'epoch': 6.65}
{'loss': 0.0742, 'grad_norm': 0.3662658631801605, 'learning_rate': 8.379898773574924e-07, 'epoch': 6.7}
{'loss': 0.0794, 'grad_norm': 0.3745424151420593, 'learning_rate': 5.821862187675775e-07, 'epoch': 6.75}
{'loss': 0.0742, 'grad_norm': 0.4329787790775299, 'learning_rate': 3.727295033040035e-07, 'epoch': 6.79}
{'loss': 0.0766, 'grad_norm': 0.39337462186813354, 'learning_rate': 2.0971737622883515e-07, 'epoch': 6.84}
{'loss': 0.0744, 'grad_norm': 0.37275341153144836, 'learning_rate': 9.32258311039269e-08, 'epoch': 6.89}
{'loss': 0.0796, 'grad_norm': 0.34592294692993164, 'learning_rate': 2.3309174364027907e-08, 'epoch': 6.93}
{'loss': 0.0788, 'grad_norm': 0.38217589259147644, 'learning_rate': 0.0, 'epoch': 6.98}
{'train_runtime': 79223.3568, 'train_samples_per_second': 0.303, 'train_steps_per_second': 0.019, 'train_loss': 0.20383235387007395, 'epoch': 6.98}
`low_cpu_mem_usage` was None, now default to True since model is quantized.

Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]
Loading checkpoint shards:  25%|██▌       | 1/4 [00:07<00:21,  7.31s/it]
Loading checkpoint shards:  50%|█████     | 2/4 [00:14<00:14,  7.08s/it]
Loading checkpoint shards:  75%|███████▌  | 3/4 [00:21<00:07,  7.00s/it]
Loading checkpoint shards: 100%|██████████| 4/4 [00:27<00:00,  6.70s/it]
Loading checkpoint shards: 100%|██████████| 4/4 [00:27<00:00,  6.84s/it]
max_steps is given, it will override any value given in num_train_epochs

  0%|          | 0/1500 [00:00<?, ?it/s]
  0%|          | 1/1500 [00:50<20:52:10, 50.12s/it]
  0%|          | 2/1500 [01:43<21:32:05, 51.75s/it]
  0%|          | 3/1500 [02:34<21:22:53, 51.42s/it]
  0%|          | 4/1500 [03:25<21:24:31, 51.52s/it]
  0%|          | 5/1500 [04:17<21:23:31, 51.51s/it]
  0%|          | 6/1500 [05:05<20:54:57, 50.40s/it]
  0%|          | 7/1500 [05:56<20:56:10, 50.48s/it]
  1%|          | 8/1500 [06:46<20:53:40, 50.42s/it]
  1%|          | 9/1500 [07:35<20:45:09, 50.11s/it]
  1%|          | 10/1500 [08:31<21:25:45, 51.78s/it]
                                                    

  1%|          | 10/1500 [08:31<21:25:45, 51.78s/it]
  1%|          | 11/1500 [09:24<21:34:42, 52.17s/it]
  1%|          | 12/1500 [10:15<21:27:39, 51.92s/it]
  1%|          | 13/1500 [11:11<21:57:42, 53.17s/it]
  1%|          | 14/1500 [12:03<21:47:19, 52.79s/it]
  1%|          | 15/1500 [12:58<21:58:42, 53.28s/it]
  1%|          | 16/1500 [13:51<21:59:58, 53.37s/it]
  1%|          | 17/1500 [14:42<21:36:56, 52.47s/it]
  1%|          | 18/1500 [15:34<21:32:38, 52.33s/it]
  1%|▏         | 19/1500 [16:27<21:40:04, 52.67s/it]
  1%|▏         | 20/1500 [17:22<21:58:43, 53.46s/it]
                                                    

  1%|▏         | 20/1500 [17:22<21:58:43, 53.46s/it]
  1%|▏         | 21/1500 [18:15<21:55:13, 53.36s/it]
  1%|▏         | 22/1500 [19:14<22:30:32, 54.83s/it]
  2%|▏         | 23/1500 [20:06<22:09:41, 54.02s/it]
  2%|▏         | 24/1500 [20:59<22:02:34, 53.76s/it]
  2%|▏         | 25/1500 [21:55<22:16:35, 54.37s/it]
  2%|▏         | 26/1500 [22:45<21:43:32, 53.06s/it]
  2%|▏         | 27/1500 [23:40<21:56:16, 53.62s/it]
  2%|▏         | 28/1500 [24:33<21:52:35, 53.50s/it]
  2%|▏         | 29/1500 [25:29<22:11:09, 54.30s/it]
  2%|▏         | 30/1500 [26:22<21:58:02, 53.80s/it]
                                                    

  2%|▏         | 30/1500 [26:22<21:58:02, 53.80s/it]
  2%|▏         | 31/1500 [27:16<22:03:20, 54.05s/it]
  2%|▏         | 32/1500 [28:07<21:39:12, 53.10s/it]
  2%|▏         | 33/1500 [29:03<21:54:25, 53.76s/it]
  2%|▏         | 34/1500 [29:54<21:39:43, 53.19s/it]
  2%|▏         | 35/1500 [30:47<21:31:47, 52.91s/it]
  2%|▏         | 36/1500 [31:40<21:36:10, 53.12s/it]
  2%|▏         | 37/1500 [32:33<21:33:35, 53.05s/it]
  3%|▎         | 38/1500 [33:25<21:22:50, 52.65s/it]
  3%|▎         | 39/1500 [34:20<21:39:37, 53.37s/it]
  3%|▎         | 40/1500 [35:10<21:17:16, 52.49s/it]
                                                    

  3%|▎         | 40/1500 [35:10<21:17:16, 52.49s/it]
  3%|▎         | 41/1500 [36:05<21:33:32, 53.20s/it]
  3%|▎         | 42/1500 [36:57<21:20:51, 52.71s/it]
  3%|▎         | 43/1500 [37:49<21:16:11, 52.55s/it]
  3%|▎         | 44/1500 [38:46<21:46:49, 53.85s/it]
  3%|▎         | 45/1500 [39:37<21:26:53, 53.07s/it]
  3%|▎         | 46/1500 [40:34<21:53:46, 54.21s/it]
  3%|▎         | 47/1500 [41:26<21:39:12, 53.65s/it]
  3%|▎         | 48/1500 [42:20<21:40:02, 53.72s/it]
  3%|▎         | 49/1500 [43:12<21:23:07, 53.06s/it]
  3%|▎         | 50/1500 [44:03<21:12:41, 52.66s/it]
                                                    

  3%|▎         | 50/1500 [44:03<21:12:41, 52.66s/it]
  3%|▎         | 51/1500 [44:57<21:16:34, 52.86s/it]
  3%|▎         | 52/1500 [45:53<21:40:13, 53.88s/it]
  4%|▎         | 53/1500 [46:46<21:34:33, 53.68s/it]
  4%|▎         | 54/1500 [47:38<21:20:34, 53.14s/it]
  4%|▎         | 55/1500 [48:26<20:39:49, 51.48s/it]
  4%|▎         | 56/1500 [49:15<20:25:11, 50.91s/it]
  4%|▍         | 57/1500 [50:06<20:24:21, 50.91s/it]
  4%|▍         | 58/1500 [50:57<20:25:43, 51.00s/it]
  4%|▍         | 59/1500 [51:48<20:20:07, 50.80s/it]
  4%|▍         | 60/1500 [52:41<20:36:27, 51.52s/it]
                                                    

  4%|▍         | 60/1500 [52:41<20:36:27, 51.52s/it]
  4%|▍         | 61/1500 [53:31<20:23:55, 51.03s/it]
  4%|▍         | 62/1500 [54:24<20:40:29, 51.76s/it]
  4%|▍         | 63/1500 [55:18<20:56:23, 52.46s/it]
  4%|▍         | 64/1500 [56:13<21:14:05, 53.23s/it]
  4%|▍         | 65/1500 [57:07<21:15:54, 53.35s/it]
  4%|▍         | 66/1500 [58:04<21:38:03, 54.31s/it]
  4%|▍         | 67/1500 [58:54<21:10:36, 53.20s/it]
  5%|▍         | 68/1500 [59:47<21:03:40, 52.95s/it]
  5%|▍         | 69/1500 [1:00:37<20:41:23, 52.05s/it]
  5%|▍         | 70/1500 [1:01:27<20:30:31, 51.63s/it]
                                                      

  5%|▍         | 70/1500 [1:01:27<20:30:31, 51.63s/it]
  5%|▍         | 71/1500 [1:02:18<20:25:16, 51.45s/it]
  5%|▍         | 72/1500 [1:03:07<20:05:51, 50.67s/it]
  5%|▍         | 73/1500 [1:04:00<20:21:08, 51.34s/it]
  5%|▍         | 74/1500 [1:04:55<20:44:08, 52.35s/it]
  5%|▌         | 75/1500 [1:05:45<20:27:10, 51.67s/it]
  5%|▌         | 76/1500 [1:06:39<20:41:45, 52.32s/it]
  5%|▌         | 77/1500 [1:07:30<20:35:43, 52.10s/it]
  5%|▌         | 78/1500 [1:08:25<20:54:21, 52.93s/it]
  5%|▌         | 79/1500 [1:09:21<21:13:38, 53.78s/it]
  5%|▌         | 80/1500 [1:10:14<21:10:38, 53.69s/it]
                                                      

  5%|▌         | 80/1500 [1:10:14<21:10:38, 53.69s/it]
