{'loss': 0.1243, 'grad_norm': 0.3491927683353424, 'learning_rate': 5.0937843696263966e-05, 'epoch': 4.7}
{'loss': 0.1193, 'grad_norm': 0.30015188455581665, 'learning_rate': 4.9067983767123736e-05, 'epoch': 4.75}
{'loss': 0.1179, 'grad_norm': 0.3543751835823059, 'learning_rate': 4.722186750292511e-05, 'epoch': 4.79}
{'loss': 0.1168, 'grad_norm': 0.39389872550964355, 'learning_rate': 4.540035553258619e-05, 'epoch': 4.84}
{'loss': 0.118, 'grad_norm': 0.31952932476997375, 'learning_rate': 4.360429701490934e-05, 'epoch': 4.89}
{'loss': 0.1236, 'grad_norm': 0.34959840774536133, 'learning_rate': 4.183452924271776e-05, 'epoch': 4.93}
{'loss': 0.1209, 'grad_norm': 0.3629601299762726, 'learning_rate': 4.009187725252309e-05, 'epoch': 4.98}
{'loss': 0.1006, 'grad_norm': 0.2799872159957886, 'learning_rate': 3.8377153439907266e-05, 'epoch': 5.02}
{'loss': 0.0909, 'grad_norm': 0.4172172546386719, 'learning_rate': 3.669115718079702e-05, 'epoch': 5.07}
{'loss': 0.0927, 'grad_norm': 0.30659207701683044, 'learning_rate': 3.503467445880789e-05, 'epoch': 5.12}
{'loss': 0.0879, 'grad_norm': 0.3536376357078552, 'learning_rate': 3.340847749883191e-05, 'epoch': 5.16}
{'loss': 0.0955, 'grad_norm': 0.31408992409706116, 'learning_rate': 3.1813324407038825e-05, 'epoch': 5.21}
{'loss': 0.0899, 'grad_norm': 0.322828471660614, 'learning_rate': 3.0249958817459722e-05, 'epoch': 5.26}
{'loss': 0.0905, 'grad_norm': 0.32940253615379333, 'learning_rate': 2.8719109545317103e-05, 'epoch': 5.3}
{'loss': 0.0852, 'grad_norm': 0.3698454797267914, 'learning_rate': 2.722149024726307e-05, 'epoch': 5.35}
{'loss': 0.0921, 'grad_norm': 0.3013119399547577, 'learning_rate': 2.5757799088684654e-05, 'epoch': 5.4}
{'loss': 0.0894, 'grad_norm': 0.3420548141002655, 'learning_rate': 2.432871841823047e-05, 'epoch': 5.44}
{'loss': 0.0872, 'grad_norm': 0.49215906858444214, 'learning_rate': 2.2934914449711087e-05, 'epoch': 5.49}
{'loss': 0.0894, 'grad_norm': 0.34016233682632446, 'learning_rate': 2.157703695152109e-05, 'epoch': 5.54}
{'loss': 0.0857, 'grad_norm': 0.31740257143974304, 'learning_rate': 2.025571894372794e-05, 'epoch': 5.58}
